Country (or region),Poet
Afghanistan,"Rumi, Khushal Khattak"
Azerbaijan,"Fuzûlî, Imadaddin Nasimi, Samad Vurgun"
Bangladesh,Kazi Nazrul Islam
China,"Du Fu, Li Bai, Lu Xun, Luo Binwang, Wang Bo, Lu Zhaolin, Song Zhiwen, Du Shenyan, Yang Jiong, Chen Zi'ang, Zhang Jiuling, Wang Wei, Meng Haoran, Huangfu Ran, Wang Changling, He Zhizhang, Wang Zhihuan, Liu Zongyuan, Han Yu, Bai Juyi, Du Mu, Su Shi, Huang Tingjian, Wang Anshi, Li Qingzhao, Yue Fei, Mi Fu, Cai Xiang, Xin Qiji, Fan Zhongyan, Fan Chengda, Yan Shu, Su Zhe, Sima Guang, Lu You, Ouyang Xiu, Wen Tianxiang"
Cambodia,"Preah Botumthera Som, Krom Ngoy, Chuon Nath"
Dagestan,Rasul Gamzatov
India,"Valmiki, Jhaverchand Meghani, Vedavyasa, Kalidasa, Amir Khusrau, Daagh Dehlvi, Ghalib, Mir Taqi Mir, Tulsidas, Maithili Sharan Gupt, Rabindranath Tagore, Maithili Sharan Gupt, Ramdhari Singh Dinkar, Subramanya Bharathi, Kuvempu, Harivansh Rai Bachchan, Nilmani Phookan, M. Govinda Pai, G.S. Shivarudrappa, Pradeep, Sohan Lal Dwivedi, Makhanlal Chaturvedi, Tanupriya Kalita, Sananta Tanty, Kumar Vishwas"
Indonesia,Chairil Anwar
Iran,"Ferdowsi, Rumi, Hafez, Attar, Abu Sa'eed, Sanai, Rudaki, Nezami Ganjavi, Saadi, Omar Khayyám, Nasir Khusraw, Vahshi Bafqi, Aref Qazvini, Nima Yooshij, Simin Behbahani, Adib Boroumand, Mohammad-Taqi Bahar, Mohammad-Hossein Shahriar, Parvin E'tesami"
Iraq,"Al-Mutanabbi, Jamil Sidqi al-Zahawi, Muhammad Mahdi al-Jawahiri, Badr Shakir al-Sayyab, Muthaffar al-Nawab, Nazik Al-Malaika, Ahmed Matar, Saadi Youssef, Lamia Abbas, Maruf al Rusafi"
Israel,Hayim Nahman Bialik
Japan,"Koizumi Yakumo, Murasaki Shikibu, Matsuo Bashō, Kobayashi Issa, Ishikawa Takuboku, Tanikawa Shuntaro"
Jordan,Mustafa Wahbi al-Tal
Kazakhstan,Abai Qunanbaiuli
Korea,"Cho Ki-chon, Yun Dongju, Han Yong-un, Park Mok-wol, Jeong Cheol"
Kurdistan,"Khana Qubadi, Ahmad Khani, Haji Qadir Koyi, Faqi Tayran, Sherko Bekas, Malaye Jaziri"
Kyrgyzstan,Toktogul Satylganov
Lebanon,"Kahlil Gibran, Said Akl"
Malaysia,Usman Awang
Mongolia,"Dashdorjiin Natsagdorj, Byambyn Rinchen, Hadaa Sendoo"
Myanmar,Min Thu Wun
Nepal,Madhav Prasad Ghimire
Pakistan,Allama Muhammad Iqbal
Palestine,Mahmoud Darwish
Philippines,Francisco Balagtas
Saudi Arabia,Ghazi Abdul Rahman Al Gosaibi
Sri Lanka,Ananda Samarakoon
Syria,"Adunis, Nizar Qabbani"
Taiwan,"Loa Ho, Yu Kwang-chung, Luo Fu (poet), Yang Mu"
Tajikistan,"Rudaki, Ferdowsi, Saadi, Molavi, Nasir Khusraw, Sadriddin Ayni, Gulnazar Keldi"
Thailand,"Thammathibet, Phra Phutthaloetla Naphalai (disputed), Sunthorn Phu, Vajiravudh, Thommayanti"
Turkmenistan,Magtymguly Pyragy
Uzbekistan,"Abdulla Oripov, Erkin Vohidov, Gʻafur Gʻulom, Mirtemir"
Vietnam,"Nguyễn Du, Nguyễn Đình Chiểu, Hồ Xuân Hương, Bà Huyện Thanh Quan, Hàn Mặc Tử, Đoàn Thị Điểm, Nguyễn Khuyến"
Yemen,"Abdullah Al-Baradouni, Waddah al-Yaman"
